DATESH	TIME	BLOCKNUMBER	TRANSACTIONINDEX	FROM	TO	ETHER	GASCOST	PRICE	ISERROR	ARTICULATED
2017-05-23	1:33:00 UTC	3754076	69	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000096442000000000	158.100000000000000000	0	0x47872b4240c398d6e1fb1e64fa89a0f2f232df777e9e84f3ef558102d564475b8a404c2f0000000000000000000000000000000000000000000000043f0c0ffd685900004069222f701e798d0884cb2fa8d3a0c97357f7bc4868848751ac1f45dab9e086
2017-05-23	1:36:12 UTC	3754090	2	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000096250000000000	159.140000000000000000	0	0x47872b4240f4f826fd349b61285bdc1b941eb2669ab20c9f0cec41a1b35a498500cfc511000000000000000000000000000000000000000000000000b8fdac5fe7f5000097522e23348ef96d0352c5e97a42317624a799d2c56ea31b2d334c00ac2fd9ac
2017-05-23	1:43:48 UTC	3754121	47	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162488000000000	159.500000000000000000	0	0x47872b423b0c9ac05370f77de3f92fb1780d1455a39336b73014493b35d83cff95e8fbda000000000000000000000000000000000000000000000002ebbc3688120c00003e1665010f77c6efb12046f355f9118e90b92c3da1bc92b36c2ec2b2af4fd307
2017-05-23	1:56:46 UTC	3754169	45	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162488000000000	159.690000000000000000	0	0x47872b421de3d6144a9561a799b6184a491af26974e91398cd896cf0efed67e188fbbf73000000000000000000000000000000000000000000000001456f22c1aee9000092337763edc7d9dd6ec762fdb564b6fd6f87d1aa56725881a41c8ad3fc40eb08
2017-05-23	2:05:14 UTC	3754196	28	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162104000000000	159.800000000000000000	0	0x47872b42179b0679d7611a186ab6232550720fdb8b60d91847f5f1a4a39297b9e76d93ad000000000000000000000000000000000000000000000000002386f26fc10000dda65549c8a96fa44741b90bc796dd0ba1d4ed7a59841e367fee602170d40025
2017-05-23	2:17:06 UTC	3754262	27	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	53.450000000000000000	0.000836872000000000	159.500000000000000000	0	0xce92dced490e83186fcdde617d05a8cb85d2f9f2d647e84e8664517eca10892380983e7b
2017-05-23	2:26:36 UTC	3754301	17	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000119730000000000	159.300000000000000000	0	0xede8acdb18e7367734879fa77f927a2363ffb587e820968d62afae11f9c81d65726ac957
2017-05-23	2:26:36 UTC	3754301	22	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	11.330000000000000000	0.000836872000000000	159.300000000000000000	0	0xce92dced39a8db40c0d199ad5a0c5f46e301048aeee569748a07df086c9235a45d5b10b0
2017-05-23	5:41:57 UTC	3755015	24	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x153b80df539e48e0e8f8a88cda85a7d1263acaf3	2.000000000000000000	0.000042000000000000	167.460000000000000000	0	0x
2017-05-23	8:29:10 UTC	3755639	46	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x2c3cc0f8dede2eccae43380ecf29b61fa6d10dca	0.001000000000000000	0.000230262000000000	164.800000000000000000	0	0x
2017-05-23	9:51:27 UTC	3755990	47	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x2c3cc0f8dede2eccae43380ecf29b61fa6d10dca	0.001000000000000000	0.002302620000000000	161.710000000000000000	0	0x
2017-05-23	0:40:49 UTC	3756173	88	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x0f593dcce096c5c39bd509123150707644ad48de	0.000000000000000000	0.000132400000000000	163.500000000000000000	0	0xee9a5432000000000000000000000000000000000000000000000000000000000000000a
